"","iso2c","iso3c","country","date","IC.CRD.LGL.XQ","unit","obs_status","footnote","last_updated"
"1","AO","AGO","Angola",2000,NA,NA,NA,NA,2013-02-22
"2","AO","AGO","Angola",2001,NA,NA,NA,NA,2013-02-22
"3","AO","AGO","Angola",2002,NA,NA,NA,NA,2013-02-22
"4","AO","AGO","Angola",2003,NA,NA,NA,NA,2013-02-22
"5","AO","AGO","Angola",2004,3,NA,NA,NA,2013-02-22
"6","AO","AGO","Angola",2005,3,NA,NA,NA,2013-02-22
"7","AO","AGO","Angola",2006,3,NA,NA,NA,2013-02-22
"8","AO","AGO","Angola",2007,3,NA,NA,NA,2013-02-22
"9","AO","AGO","Angola",2008,3,NA,NA,NA,2013-02-22
"10","AO","AGO","Angola",2009,3,NA,NA,NA,2013-02-22
"11","AO","AGO","Angola",2010,3,NA,NA,NA,2013-02-22
"12","AO","AGO","Angola",2011,3,NA,NA,NA,2013-02-22
"13","AO","AGO","Angola",2012,3,NA,NA,NA,2013-02-22
"14","BI","BDI","Burundi",2000,NA,NA,NA,NA,2013-02-22
"15","BI","BDI","Burundi",2001,NA,NA,NA,NA,2013-02-22
"16","BI","BDI","Burundi",2002,NA,NA,NA,NA,2013-02-22
"17","BI","BDI","Burundi",2003,NA,NA,NA,NA,2013-02-22
"18","BI","BDI","Burundi",2004,2,NA,NA,NA,2013-02-22
"19","BI","BDI","Burundi",2005,2,NA,NA,NA,2013-02-22
"20","BI","BDI","Burundi",2006,3,NA,NA,NA,2013-02-22
"21","BI","BDI","Burundi",2007,3,NA,NA,NA,2013-02-22
"22","BI","BDI","Burundi",2008,3,NA,NA,NA,2013-02-22
"23","BI","BDI","Burundi",2009,3,NA,NA,NA,2013-02-22
"24","BI","BDI","Burundi",2010,3,NA,NA,NA,2013-02-22
"25","BI","BDI","Burundi",2011,3,NA,NA,NA,2013-02-22
"26","BI","BDI","Burundi",2012,3,NA,NA,NA,2013-02-22
"27","BJ","BEN","Benin",2000,NA,NA,NA,NA,2013-02-22
"28","BJ","BEN","Benin",2001,NA,NA,NA,NA,2013-02-22
"29","BJ","BEN","Benin",2002,NA,NA,NA,NA,2013-02-22
"30","BJ","BEN","Benin",2003,NA,NA,NA,NA,2013-02-22
"31","BJ","BEN","Benin",2004,3,NA,NA,NA,2013-02-22
"32","BJ","BEN","Benin",2005,3,NA,NA,NA,2013-02-22
"33","BJ","BEN","Benin",2006,3,NA,NA,NA,2013-02-22
"34","BJ","BEN","Benin",2007,3,NA,NA,NA,2013-02-22
"35","BJ","BEN","Benin",2008,3,NA,NA,NA,2013-02-22
"36","BJ","BEN","Benin",2009,3,NA,NA,NA,2013-02-22
"37","BJ","BEN","Benin",2010,3,NA,NA,NA,2013-02-22
"38","BJ","BEN","Benin",2011,6,NA,NA,NA,2013-02-22
"39","BJ","BEN","Benin",2012,6,NA,NA,NA,2013-02-22
"40","BF","BFA","Burkina Faso",2000,NA,NA,NA,NA,2013-02-22
"41","BF","BFA","Burkina Faso",2001,NA,NA,NA,NA,2013-02-22
"42","BF","BFA","Burkina Faso",2002,NA,NA,NA,NA,2013-02-22
"43","BF","BFA","Burkina Faso",2003,NA,NA,NA,NA,2013-02-22
"44","BF","BFA","Burkina Faso",2004,3,NA,NA,NA,2013-02-22
"45","BF","BFA","Burkina Faso",2005,3,NA,NA,NA,2013-02-22
"46","BF","BFA","Burkina Faso",2006,3,NA,NA,NA,2013-02-22
"47","BF","BFA","Burkina Faso",2007,3,NA,NA,NA,2013-02-22
"48","BF","BFA","Burkina Faso",2008,3,NA,NA,NA,2013-02-22
"49","BF","BFA","Burkina Faso",2009,3,NA,NA,NA,2013-02-22
"50","BF","BFA","Burkina Faso",2010,3,NA,NA,NA,2013-02-22
"51","BF","BFA","Burkina Faso",2011,6,NA,NA,NA,2013-02-22
"52","BF","BFA","Burkina Faso",2012,6,NA,NA,NA,2013-02-22
"53","BW","BWA","Botswana",2000,NA,NA,NA,NA,2013-02-22
"54","BW","BWA","Botswana",2001,NA,NA,NA,NA,2013-02-22
"55","BW","BWA","Botswana",2002,NA,NA,NA,NA,2013-02-22
"56","BW","BWA","Botswana",2003,NA,NA,NA,NA,2013-02-22
"57","BW","BWA","Botswana",2004,7,NA,NA,NA,2013-02-22
"58","BW","BWA","Botswana",2005,7,NA,NA,NA,2013-02-22
"59","BW","BWA","Botswana",2006,7,NA,NA,NA,2013-02-22
"60","BW","BWA","Botswana",2007,7,NA,NA,NA,2013-02-22
"61","BW","BWA","Botswana",2008,7,NA,NA,NA,2013-02-22
"62","BW","BWA","Botswana",2009,7,NA,NA,NA,2013-02-22
"63","BW","BWA","Botswana",2010,7,NA,NA,NA,2013-02-22
"64","BW","BWA","Botswana",2011,7,NA,NA,NA,2013-02-22
"65","BW","BWA","Botswana",2012,7,NA,NA,NA,2013-02-22
"66","CF","CAF","Central African Republic",2000,NA,NA,NA,NA,2013-02-22
"67","CF","CAF","Central African Republic",2001,NA,NA,NA,NA,2013-02-22
"68","CF","CAF","Central African Republic",2002,NA,NA,NA,NA,2013-02-22
"69","CF","CAF","Central African Republic",2003,NA,NA,NA,NA,2013-02-22
"70","CF","CAF","Central African Republic",2004,3,NA,NA,NA,2013-02-22
"71","CF","CAF","Central African Republic",2005,3,NA,NA,NA,2013-02-22
"72","CF","CAF","Central African Republic",2006,3,NA,NA,NA,2013-02-22
"73","CF","CAF","Central African Republic",2007,3,NA,NA,NA,2013-02-22
"74","CF","CAF","Central African Republic",2008,3,NA,NA,NA,2013-02-22
"75","CF","CAF","Central African Republic",2009,3,NA,NA,NA,2013-02-22
"76","CF","CAF","Central African Republic",2010,3,NA,NA,NA,2013-02-22
"77","CF","CAF","Central African Republic",2011,6,NA,NA,NA,2013-02-22
"78","CF","CAF","Central African Republic",2012,6,NA,NA,NA,2013-02-22
"79","CI","CIV","Cote d'Ivoire",2000,NA,NA,NA,NA,2013-02-22
"80","CI","CIV","Cote d'Ivoire",2001,NA,NA,NA,NA,2013-02-22
"81","CI","CIV","Cote d'Ivoire",2002,NA,NA,NA,NA,2013-02-22
"82","CI","CIV","Cote d'Ivoire",2003,NA,NA,NA,NA,2013-02-22
"83","CI","CIV","Cote d'Ivoire",2004,3,NA,NA,NA,2013-02-22
"84","CI","CIV","Cote d'Ivoire",2005,3,NA,NA,NA,2013-02-22
"85","CI","CIV","Cote d'Ivoire",2006,3,NA,NA,NA,2013-02-22
"86","CI","CIV","Cote d'Ivoire",2007,3,NA,NA,NA,2013-02-22
"87","CI","CIV","Cote d'Ivoire",2008,3,NA,NA,NA,2013-02-22
"88","CI","CIV","Cote d'Ivoire",2009,3,NA,NA,NA,2013-02-22
"89","CI","CIV","Cote d'Ivoire",2010,3,NA,NA,NA,2013-02-22
"90","CI","CIV","Cote d'Ivoire",2011,6,NA,NA,NA,2013-02-22
"91","CI","CIV","Cote d'Ivoire",2012,6,NA,NA,NA,2013-02-22
"92","CM","CMR","Cameroon",2000,NA,NA,NA,NA,2013-02-22
"93","CM","CMR","Cameroon",2001,NA,NA,NA,NA,2013-02-22
"94","CM","CMR","Cameroon",2002,NA,NA,NA,NA,2013-02-22
"95","CM","CMR","Cameroon",2003,NA,NA,NA,NA,2013-02-22
"96","CM","CMR","Cameroon",2004,3,NA,NA,NA,2013-02-22
"97","CM","CMR","Cameroon",2005,3,NA,NA,NA,2013-02-22
"98","CM","CMR","Cameroon",2006,3,NA,NA,NA,2013-02-22
"99","CM","CMR","Cameroon",2007,3,NA,NA,NA,2013-02-22
"100","CM","CMR","Cameroon",2008,3,NA,NA,NA,2013-02-22
